MoleculeType	Identifier	MoleculeName	
Proteins	O14879	UniProt:O14879 IFIT3	
Proteins	Q13325	UniProt:Q13325 IFIT5	
Proteins	P80217	UniProt:P80217 IFI35	
Proteins	P13164	UniProt:P13164 IFITM1	
Proteins	P18146	UniProt:P18146 EGR1	
Proteins	Q9Y3Z3	UniProt:Q9Y3Z3 SAMHD1	
Proteins	Q8WXG1	UniProt:Q8WXG1 RSAD2	
Proteins	Q10589	UniProt:Q10589 BST2	
Proteins	P09912	UniProt:P09912 IFI6	
Proteins	Q6GPH4	UniProt:Q6GPH4 XAF1	
Proteins	Q01629	UniProt:Q01629 IFITM2	
Proteins	Q9UHH9	UniProt:Q9UHH9 IP6K2	
Proteins	Q01628	UniProt:Q01628 IFITM3	
Proteins	P30501	UniProt:P30501 HLA-C	
Proteins	P30486	UniProt:P30486 HLA-B	
Proteins	P01893	UniProt:P01893 HLA-H	
Proteins	P30447	UniProt:P30447 HLA-A	
Proteins	P30685	UniProt:P30685 HLA-B	
Proteins	P18465	UniProt:P18465 HLA-B	
Proteins	P18464	UniProt:P18464 HLA-B	
Proteins	P30460	UniProt:P30460 HLA-B	
Proteins	P30490	UniProt:P30490 HLA-B	
Proteins	P30495	UniProt:P30495 HLA-B	
Proteins	P30493	UniProt:P30493 HLA-B	
Proteins	P13747	UniProt:P13747 HLA-E	
Proteins	P30488	UniProt:P30488 HLA-B	
Proteins	P30511	UniProt:P30511 HLA-F	
Proteins	P30483	UniProt:P30483 HLA-B	
Proteins	P30462	UniProt:P30462 HLA-B	
Proteins	P04439	UniProt:P04439 HLA-A	
Proteins	Q29940	UniProt:Q29940 HLA-B	
Proteins	P30443	UniProt:P30443 HLA-A	
Proteins	P30475	UniProt:P30475 HLA-B	
Proteins	P01889	UniProt:P01889 HLA-B	
Proteins	P01892	UniProt:P01892 HLA-A	
Proteins	Q04826	UniProt:Q04826 HLA-B	
Proteins	P10319	UniProt:P10319 HLA-B	
Proteins	P30479	UniProt:P30479 HLA-B	
Proteins	P04222	UniProt:P04222 HLA-C	
Proteins	P30480	UniProt:P30480 HLA-B	
Proteins	Q95365	UniProt:Q95365 HLA-B	
Proteins	Q9TNN7	UniProt:Q9TNN7 HLA-C	
Proteins	P30481	UniProt:P30481 HLA-B	
Proteins	Q31612	UniProt:Q31612 HLA-B	
Proteins	P30504	UniProt:P30504 HLA-C	
Proteins	P17693	UniProt:P17693 HLA-G	
Proteins	P30461	UniProt:P30461 HLA-B	
Proteins	P30487	UniProt:P30487 HLA-B	
Proteins	P30464	UniProt:P30464 HLA-B	
Proteins	P30491	UniProt:P30491 HLA-B	
Proteins	P30485	UniProt:P30485 HLA-B	
Proteins	P30453	UniProt:P30453 HLA-A	
Proteins	P03989	UniProt:P03989 HLA-B	
Proteins	P30457	UniProt:P30457 HLA-A	
Proteins	P10321	UniProt:P10321 HLA-C	
Proteins	P30466	UniProt:P30466 HLA-B	
Proteins	P30492	UniProt:P30492 HLA-B	
Proteins	P30498	UniProt:P30498 HLA-B	
Proteins	Q29718	UniProt:Q29718 HLA-B	
Proteins	P30484	UniProt:P30484 HLA-B	
Proteins	P18463	UniProt:P18463 HLA-B	
Proteins	Q31610	UniProt:Q31610 HLA-B	
Proteins	Q29963	UniProt:Q29963 HLA-C	
Proteins	Q95604	UniProt:Q95604 HLA-C	
Proteins	Q07000	UniProt:Q07000 HLA-C	
Proteins	Q29865	UniProt:Q29865 HLA-C	
Proteins	Q29836	UniProt:Q29836 HLA-B	
Proteins	P30505	UniProt:P30505 HLA-C	
Proteins	P30450	UniProt:P30450 HLA-A	
Proteins	P30512	UniProt:P30512 HLA-A	
Proteins	P30510	UniProt:P30510 HLA-C	
Proteins	P16190	UniProt:P16190 HLA-A	
Proteins	Q29960	UniProt:Q29960 HLA-C	
Proteins	P16189	UniProt:P16189 HLA-A	
Proteins	P30508	UniProt:P30508 HLA-C	
Proteins	Q09160	UniProt:Q09160 HLA-A	
Proteins	P30499	UniProt:P30499 HLA-C	
Proteins	P18462	UniProt:P18462 HLA-A	
Proteins	P01891	UniProt:P01891 HLA-A	
Proteins	P30455	UniProt:P30455 HLA-A	
Proteins	P10316	UniProt:P10316 HLA-A	
Proteins	P30459	UniProt:P30459 HLA-A	
Proteins	P13746	UniProt:P13746 HLA-A	
Proteins	P10314	UniProt:P10314 HLA-A	
Proteins	P16188	UniProt:P16188 HLA-A	
Proteins	P30456	UniProt:P30456 HLA-A	
Proteins	P05534	UniProt:P05534 HLA-A	
Proteins	P28062	UniProt:P28062 PSMB8	
Proteins	Q15306	UniProt:Q15306 IRF4	
Proteins	Q13568	UniProt:Q13568 IRF5	
Proteins	P10914	UniProt:P10914 IRF1	
Proteins	O14896	UniProt:O14896 IRF6	
Proteins	Q02556	UniProt:Q02556 IRF8	
Proteins	P14316	UniProt:P14316 IRF2	
Proteins	Q92985	UniProt:Q92985 IRF7	
Proteins	P18031	UniProt:P18031 PTPN1	
Proteins	P01579	UniProt:P01579 IFNG	
Proteins	P15260	UniProt:P15260 IFNGR1	
Proteins	O60674	UniProt:O60674 JAK2	
Proteins	P38484	UniProt:P38484 IFNGR2	
Proteins	Q6ZN66	UniProt:Q6ZN66 GBP6	
Proteins	Q96PP8	UniProt:Q96PP8 GBP5	
Proteins	Q96PP9	UniProt:Q96PP9 GBP4	
Proteins	Q8N8V2	UniProt:Q8N8V2 GBP7	
Proteins	Q9H0R5	UniProt:Q9H0R5 GBP3	
Proteins	P32455	UniProt:P32455 GBP1	
Proteins	P12314	UniProt:P12314 FCGR1A	
Proteins	Q92637	UniProt:Q92637 FCGR1B	
Proteins	P20036	UniProt:P20036 HLA-DPA1	
Proteins	P01909	UniProt:P01909 HLA-DQA1	
Proteins	P01903	UniProt:P01903 HLA-DRA	
Proteins	P01906	UniProt:P01906 HLA-DQA2	
Proteins	P13760	UniProt:P13760 HLA-DRB1	
Proteins	Q30134	UniProt:Q30134 HLA-DRB1	
Proteins	P20039	UniProt:P20039 HLA-DRB1	
Proteins	P01912	UniProt:P01912 HLA-DRB1	
Proteins	P01920	UniProt:P01920 HLA-DQB1	
Proteins	P79483	UniProt:P79483 HLA-DRB3	
Proteins	Q9TQE0	UniProt:Q9TQE0 HLA-DRB1	
Proteins	P01911	UniProt:P01911 HLA-DRB1	
Proteins	P05538	UniProt:P05538 HLA-DQB2	
Proteins	P04440	UniProt:P04440 HLA-DPB1	
Proteins	Q30167	UniProt:Q30167 HLA-DRB1	
Proteins	Q30154	UniProt:Q30154 HLA-DRB5	
Proteins	Q5Y7A7	UniProt:Q5Y7A7 HLA-DRB1	
Proteins	P13762	UniProt:P13762 HLA-DRB4	
Proteins	Q9GIY3	UniProt:Q9GIY3 HLA-DRB1	
Proteins	Q95IE3	UniProt:Q95IE3 HLA-DRB1	
Proteins	Q29974	UniProt:Q29974 HLA-DRB1	
Proteins	P04229	UniProt:P04229 HLA-DRB1	
Proteins	P13761	UniProt:P13761 HLA-DRB1	
Proteins	P05362	UniProt:P05362 ICAM1	
Proteins	P16070	UniProt:P16070 CD44	
